run_id,intent_id,language,agent_design_id,query_text,endpoint_outcome,estimated_cost_usd
S2-INT-004-en-A,INT-004,en,agent_a_direct_full_kb,"After I return my device, where does my refund go?",NOT_RUN,0
S2-INT-004-en-B,INT-004,en,agent_b_simple_rag,"After I return my device, where does my refund go?",NOT_RUN,0
S2-INT-004-nl-A,INT-004,nl,agent_a_direct_full_kb,"Nadat ik mijn apparaat heb geretourneerd, waar wordt mijn terugbetaling naartoe gestuurd?",NOT_RUN,0
S2-INT-004-nl-B,INT-004,nl,agent_b_simple_rag,"Nadat ik mijn apparaat heb geretourneerd, waar wordt mijn terugbetaling naartoe gestuurd?",NOT_RUN,0
S2-INT-004-tr-A,INT-004,tr,agent_a_direct_full_kb,Cihazımı iade ettikten sonra para iadem nereye yapılır?,NOT_RUN,0
S2-INT-004-tr-B,INT-004,tr,agent_b_simple_rag,Cihazımı iade ettikten sonra para iadem nereye yapılır?,NOT_RUN,0
S2-INT-015-en-A,INT-015,en,agent_a_direct_full_kb,I dropped my NiceHome Camera and now it doesn't work. Does the warranty cover this?,NOT_RUN,0
S2-INT-015-en-B,INT-015,en,agent_b_simple_rag,I dropped my NiceHome Camera and now it doesn't work. Does the warranty cover this?,NOT_RUN,0
S2-INT-015-nl-A,INT-015,nl,agent_a_direct_full_kb,Ik heb mijn NiceHome Camera laten vallen en nu werkt hij niet meer. Valt dit onder de garantie?,NOT_RUN,0
S2-INT-015-nl-B,INT-015,nl,agent_b_simple_rag,Ik heb mijn NiceHome Camera laten vallen en nu werkt hij niet meer. Valt dit onder de garantie?,NOT_RUN,0
S2-INT-015-tr-A,INT-015,tr,agent_a_direct_full_kb,NiceHome Camera'mı düşürdüm ve çalışmıyor. Bu durum garanti kapsamında mı?,NOT_RUN,0
S2-INT-015-tr-B,INT-015,tr,agent_b_simple_rag,NiceHome Camera'mı düşürdüm ve çalışmıyor. Bu durum garanti kapsamında mı?,NOT_RUN,0
S2-INT-017-en-A,INT-017,en,agent_a_direct_full_kb,"If I cancel my Camera Plus Plan in the middle of a billing period, do I still have access to cloud storage until the end of the period? And will I get a partial refund?",NOT_RUN,0
S2-INT-017-en-B,INT-017,en,agent_b_simple_rag,"If I cancel my Camera Plus Plan in the middle of a billing period, do I still have access to cloud storage until the end of the period? And will I get a partial refund?",NOT_RUN,0
S2-INT-017-nl-A,INT-017,nl,agent_a_direct_full_kb,"Als ik mijn Camera Plus Plan opzeg midden in een factureringsperiode, heb ik dan nog toegang tot cloudopslag tot het einde van de periode? En krijg ik een gedeeltelijke terugbetaling?",NOT_RUN,0
S2-INT-017-nl-B,INT-017,nl,agent_b_simple_rag,"Als ik mijn Camera Plus Plan opzeg midden in een factureringsperiode, heb ik dan nog toegang tot cloudopslag tot het einde van de periode? En krijg ik een gedeeltelijke terugbetaling?",NOT_RUN,0
S2-INT-017-tr-A,INT-017,tr,agent_a_direct_full_kb,"Camera Plus Plan'ımı faturalandırma döneminin ortasında iptal edersem, dönem sonuna kadar bulut depolama erişimim devam eder mi? Kısmi para iadesi alır mıyım?",NOT_RUN,0
S2-INT-017-tr-B,INT-017,tr,agent_b_simple_rag,"Camera Plus Plan'ımı faturalandırma döneminin ortasında iptal edersem, dönem sonuna kadar bulut depolama erişimim devam eder mi? Kısmi para iadesi alır mıyım?",NOT_RUN,0
S2-INT-026-en-A,INT-026,en,agent_a_direct_full_kb,How do I add a new NiceHome Sensor to my system?,NOT_RUN,0
S2-INT-026-en-B,INT-026,en,agent_b_simple_rag,How do I add a new NiceHome Sensor to my system?,NOT_RUN,0
S2-INT-026-nl-A,INT-026,nl,agent_a_direct_full_kb,Hoe voeg ik een nieuwe NiceHome Sensor toe aan mijn systeem?,NOT_RUN,0
S2-INT-026-nl-B,INT-026,nl,agent_b_simple_rag,Hoe voeg ik een nieuwe NiceHome Sensor toe aan mijn systeem?,NOT_RUN,0
S2-INT-026-tr-A,INT-026,tr,agent_a_direct_full_kb,Sisteme yeni bir NiceHome Sensor'u nasıl eklerim?,NOT_RUN,0
S2-INT-026-tr-B,INT-026,tr,agent_b_simple_rag,Sisteme yeni bir NiceHome Sensor'u nasıl eklerim?,NOT_RUN,0
S2-INT-031-en-A,INT-031,en,agent_a_direct_full_kb,"How do I factory reset my NiceHome Hub, and what do I need to do afterward?",NOT_RUN,0
S2-INT-031-en-B,INT-031,en,agent_b_simple_rag,"How do I factory reset my NiceHome Hub, and what do I need to do afterward?",NOT_RUN,0
S2-INT-031-nl-A,INT-031,nl,agent_a_direct_full_kb,"Hoe herstel ik mijn NiceHome Hub naar de fabrieksinstellingen, en wat moet ik daarna doen?",NOT_RUN,0
S2-INT-031-nl-B,INT-031,nl,agent_b_simple_rag,"Hoe herstel ik mijn NiceHome Hub naar de fabrieksinstellingen, en wat moet ik daarna doen?",NOT_RUN,0
S2-INT-031-tr-A,INT-031,tr,agent_a_direct_full_kb,NiceHome Hub'ımı fabrika ayarlarına nasıl sıfırlarım? Sıfırladıktan sonra ne yapmam gerekiyor?,NOT_RUN,0
S2-INT-031-tr-B,INT-031,tr,agent_b_simple_rag,NiceHome Hub'ımı fabrika ayarlarına nasıl sıfırlarım? Sıfırladıktan sonra ne yapmam gerekiyor?,NOT_RUN,0
