run_id,timestamp,benchmark_version,stage,intent_id,language,query_text,agent_design_id,response_model_id,embedding_model_id,tokenizer_name,prompt_version,kb_version,retrieved_chunk_ids,retrieved_fact_ids,retrieval_scores,input_tokens,output_tokens,total_tokens,model_calls,retrieval_calls,retry_count,latency_ms,estimated_cost_usd,endpoint_outcome,failure_type,evaluator_notes,raw_output_path
S2-INT-004-en-A,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-004,en,"After I return my device, where does my refund go?",agent_a_direct_full_kb,gpt-4.1-mini-2025-04-14,,o200k_base,s2-prompt-a-v0.1.0,kb-en-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-004-en-B,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-004,en,"After I return my device, where does my refund go?",agent_b_simple_rag,gpt-4.1-mini-2025-04-14,text-embedding-3-small,o200k_base,s2-prompt-b-v0.1.0,kb-en-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-004-nl-A,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-004,nl,"Nadat ik mijn apparaat heb geretourneerd, waar wordt mijn terugbetaling naartoe gestuurd?",agent_a_direct_full_kb,gpt-4.1-mini-2025-04-14,,o200k_base,s2-prompt-a-v0.1.0,kb-nl-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-004-nl-B,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-004,nl,"Nadat ik mijn apparaat heb geretourneerd, waar wordt mijn terugbetaling naartoe gestuurd?",agent_b_simple_rag,gpt-4.1-mini-2025-04-14,text-embedding-3-small,o200k_base,s2-prompt-b-v0.1.0,kb-nl-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-004-tr-A,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-004,tr,Cihazımı iade ettikten sonra para iadem nereye yapılır?,agent_a_direct_full_kb,gpt-4.1-mini-2025-04-14,,o200k_base,s2-prompt-a-v0.1.0,kb-tr-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-004-tr-B,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-004,tr,Cihazımı iade ettikten sonra para iadem nereye yapılır?,agent_b_simple_rag,gpt-4.1-mini-2025-04-14,text-embedding-3-small,o200k_base,s2-prompt-b-v0.1.0,kb-tr-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-015-en-A,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-015,en,I dropped my NiceHome Camera and now it doesn't work. Does the warranty cover this?,agent_a_direct_full_kb,gpt-4.1-mini-2025-04-14,,o200k_base,s2-prompt-a-v0.1.0,kb-en-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-015-en-B,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-015,en,I dropped my NiceHome Camera and now it doesn't work. Does the warranty cover this?,agent_b_simple_rag,gpt-4.1-mini-2025-04-14,text-embedding-3-small,o200k_base,s2-prompt-b-v0.1.0,kb-en-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-015-nl-A,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-015,nl,Ik heb mijn NiceHome Camera laten vallen en nu werkt hij niet meer. Valt dit onder de garantie?,agent_a_direct_full_kb,gpt-4.1-mini-2025-04-14,,o200k_base,s2-prompt-a-v0.1.0,kb-nl-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-015-nl-B,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-015,nl,Ik heb mijn NiceHome Camera laten vallen en nu werkt hij niet meer. Valt dit onder de garantie?,agent_b_simple_rag,gpt-4.1-mini-2025-04-14,text-embedding-3-small,o200k_base,s2-prompt-b-v0.1.0,kb-nl-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-015-tr-A,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-015,tr,NiceHome Camera'mı düşürdüm ve çalışmıyor. Bu durum garanti kapsamında mı?,agent_a_direct_full_kb,gpt-4.1-mini-2025-04-14,,o200k_base,s2-prompt-a-v0.1.0,kb-tr-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-015-tr-B,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-015,tr,NiceHome Camera'mı düşürdüm ve çalışmıyor. Bu durum garanti kapsamında mı?,agent_b_simple_rag,gpt-4.1-mini-2025-04-14,text-embedding-3-small,o200k_base,s2-prompt-b-v0.1.0,kb-tr-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-017-en-A,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-017,en,"If I cancel my Camera Plus Plan in the middle of a billing period, do I still have access to cloud storage until the end of the period? And will I get a partial refund?",agent_a_direct_full_kb,gpt-4.1-mini-2025-04-14,,o200k_base,s2-prompt-a-v0.1.0,kb-en-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-017-en-B,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-017,en,"If I cancel my Camera Plus Plan in the middle of a billing period, do I still have access to cloud storage until the end of the period? And will I get a partial refund?",agent_b_simple_rag,gpt-4.1-mini-2025-04-14,text-embedding-3-small,o200k_base,s2-prompt-b-v0.1.0,kb-en-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-017-nl-A,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-017,nl,"Als ik mijn Camera Plus Plan opzeg midden in een factureringsperiode, heb ik dan nog toegang tot cloudopslag tot het einde van de periode? En krijg ik een gedeeltelijke terugbetaling?",agent_a_direct_full_kb,gpt-4.1-mini-2025-04-14,,o200k_base,s2-prompt-a-v0.1.0,kb-nl-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-017-nl-B,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-017,nl,"Als ik mijn Camera Plus Plan opzeg midden in een factureringsperiode, heb ik dan nog toegang tot cloudopslag tot het einde van de periode? En krijg ik een gedeeltelijke terugbetaling?",agent_b_simple_rag,gpt-4.1-mini-2025-04-14,text-embedding-3-small,o200k_base,s2-prompt-b-v0.1.0,kb-nl-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-017-tr-A,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-017,tr,"Camera Plus Plan'ımı faturalandırma döneminin ortasında iptal edersem, dönem sonuna kadar bulut depolama erişimim devam eder mi? Kısmi para iadesi alır mıyım?",agent_a_direct_full_kb,gpt-4.1-mini-2025-04-14,,o200k_base,s2-prompt-a-v0.1.0,kb-tr-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
