intent_id,language,query_text,token_count
INT-001,en,How long is the warranty on NiceHome devices?,9
INT-001,nl,Hoe lang is de garantie op NiceHome-apparaten?,9
INT-001,tr,NiceHome cihazlarında garanti süresi ne kadardır?,13
INT-002,en,How many days do I have to return a NiceHome device?,12
INT-002,nl,Hoeveel dagen heb ik om een NiceHome-apparaat te retourneren?,11
INT-002,tr,NiceHome cihazını iade etmek için kaç günüm var?,13
INT-003,en,What does the NiceHome Sensor measure?,7
INT-003,nl,Wat meet de NiceHome Sensor?,6
INT-003,tr,NiceHome Sensor ne ölçer?,6
INT-004,en,"After I return my device, where does my refund go?",12
INT-004,nl,"Nadat ik mijn apparaat heb geretourneerd, waar wordt mijn terugbetaling naartoe gestuurd?",16
INT-004,tr,Cihazımı iade ettikten sonra para iadem nereye yapılır?,13
INT-005,en,I have the Camera Plus Plan. How long are my cloud video recordings kept?,16
INT-005,nl,Ik heb het Camera Plus Plan. Hoe lang worden mijn cloudvideo-opnames bewaard?,15
INT-005,tr,Camera Plus Plan'ım var. Bulut video kayıtlarım ne kadar süre saklanır?,20
INT-006,en,How long is the free trial for the Camera Plus Plan?,12
INT-006,nl,Hoe lang duurt de gratis proefperiode van het Camera Plus Plan?,13
INT-006,tr,Camera Plus Plan'ın ücretsiz deneme süresi ne kadar?,13
INT-007,en,How long does Standard shipping take?,7
INT-007,nl,Hoe lang duurt standaardverzending?,6
INT-007,tr,Standart kargo ne kadar sürer?,7
INT-008,en,Can I use the NiceHome Camera outside?,8
INT-008,nl,Kan ik de NiceHome Camera buiten gebruiken?,8
INT-008,tr,NiceHome Camera'yı dışarıda kullanabilir miyim?,10
INT-009,en,How long does it typically take to repair a NiceHome device?,12
INT-009,nl,Hoe lang duurt het doorgaans om een NiceHome-apparaat te repareren?,12
INT-009,tr,NiceHome cihazının tamiri genellikle ne kadar sürer?,11
INT-010,en,"Does NiceHome offer a cloud subscription, and what is it called?",14
INT-010,nl,"Biedt NiceHome een cloudabonnement aan, en hoe heet dat?",12
INT-010,tr,NiceHome bir bulut aboneliği sunuyor mu? Sunuyorsa adı nedir?,13
INT-011,en,How long does it take to receive my refund after I return a device?,15
